chars,words,vowels,num_of_punctuations,first_letter_caps,is_heading
10,2,2,1,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
151,34,22,23,1,0
9,3,0,3,0,0
1,1,0,0,0,0
11,2,2,1,1,0
1,1,0,0,0,0
61,15,15,1,1,0
28,10,0,5,1,0
1,1,0,0,0,0
696,115,196,34,0,0
3,1,0,0,1,0
2,1,0,0,0,0
1,1,0,0,0,0
2,2,0,0,0,0
1,1,0,0,0,0
47,19,0,11,1,0
1,1,0,0,0,0
8,3,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
14,4,2,3,0,0
2,1,0,0,0,0
1,1,0,0,0,0
130,45,12,22,1,0
1,1,0,0,0,0
22,5,2,6,0,0
1,1,0,0,0,0
9,3,0,3,0,0
2,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
12,5,0,4,0,0
1,1,0,0,0,0
62,17,12,3,1,0
8,4,0,0,0,0
1,1,0,0,0,0
170,30,48,10,1,0
4,2,0,0,0,0
1,1,0,0,0,0
2,2,0,0,0,0
1,1,0,0,0,0
6,2,0,2,0,0
1,1,0,0,0,0
18,4,2,4,0,0
1,1,0,0,0,0
9,3,0,4,1,0
1,1,0,0,0,0
14,6,0,2,0,0
1,1,0,0,0,0
42,12,4,10,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
267,62,49,34,0,0
2,1,0,0,0,0
1,1,0,0,0,0
414,98,96,25,1,0
45,15,0,13,0,0
1,1,0,0,0,0
9,1,0,5,0,0
1,1,0,0,0,0
5,3,0,0,1,0
1,1,0,0,0,0
9,3,0,2,1,0
1,1,0,0,0,0
5,1,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
25,11,0,6,1,0
1,1,0,0,0,0
57,13,15,1,1,0
19,7,0,3,1,0
1,1,0,0,0,0
189,35,56,7,1,0
106,14,33,3,0,0
6,2,1,0,1,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
22,9,0,6,0,0
1,1,0,0,0,0
73,24,10,9,1,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
4,1,1,2,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
6,1,1,1,0,0
1,1,0,0,0,0
32,4,11,3,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
117,25,26,6,1,0
4,2,0,0,0,0
1,1,0,0,0,0
17,6,1,4,0,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
17,6,1,4,0,0
1,1,0,0,0,0
956,165,257,69,1,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
26,9,2,6,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
1813,334,479,127,1,0
2,1,0,0,0,0
1,1,0,0,0,0
1647,324,430,107,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
11,4,0,2,1,0
6,3,0,0,0,0
1,1,0,0,0,0
44,16,0,15,0,0
1,1,0,0,0,0
139,55,7,41,0,0
1,1,0,0,0,0
59,6,19,1,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
16,6,0,7,0,0
1,1,0,0,0,0
9,2,0,3,1,0
1,1,0,0,0,0
64,7,18,3,1,0
818,326,26,74,0,0
5,2,0,1,0,0
1,1,0,0,0,0
44,5,14,2,1,0
12,3,2,1,0,0
5,2,0,1,0,0
1,1,0,0,0,0
75,24,7,10,0,0
2,1,0,0,0,0
1,1,0,0,0,0
4,2,0,0,0,0
1,1,0,0,0,0
3,2,0,0,0,0
1,1,0,0,0,0
11,5,0,0,0,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
18,2,6,0,1,0
1,1,0,0,0,0
207,91,6,16,0,0
10,4,0,2,0,0
1,1,0,0,0,0
16,2,6,0,1,0
1,1,0,0,0,0
186,84,2,14,0,0
1,1,0,0,0,0
2,1,0,1,0,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
220,71,21,16,0,0
1,1,0,0,0,0
824,320,23,78,0,0
4,1,0,1,0,0
1,1,0,0,0,0
3,1,0,0,1,0
1,1,0,0,0,0
9,1,2,0,1,0
1,1,0,0,0,0
8,1,3,0,1,0
1,1,0,0,0,0
455,80,119,22,1,0
6,3,0,0,0,0
1,1,0,0,0,0
600,103,174,24,0,0
4,2,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
8,4,0,2,0,0
1,1,0,0,0,0
4,2,0,0,0,0
1,1,0,0,0,0
14,5,0,4,0,0
2,1,0,0,0,0
1,1,0,0,0,0
5,1,0,2,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
21,5,3,0,1,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
20,5,0,0,1,0
1,1,0,0,0,0
5,2,0,1,0,0
1,1,0,0,0,0
10,2,2,0,1,0
1,1,0,0,0,0
5,2,0,1,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
25,4,6,0,1,0
1,1,0,0,0,0
10,4,0,2,0,0
1,1,0,0,0,0
9,3,0,1,1,0
1,1,0,0,0,0
5,2,0,1,0,0
1,1,0,0,0,0
13,4,2,1,1,0
1,1,0,0,0,0
10,2,2,0,1,0
1,1,0,0,0,0
51,21,0,10,0,0
1,1,0,0,0,0
2099,379,554,111,1,0
1,1,0,0,0,0
1477,257,407,88,1,0
137,30,19,21,1,0
1,1,0,0,0,0
1414,236,402,63,1,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
3261,545,922,128,0,0
1,1,0,0,0,0
651,109,167,33,0,0
2,1,0,0,0,0
1,1,0,0,0,0
49,20,1,10,1,0
1,1,0,0,0,0
10,2,0,4,0,0
1,1,0,0,0,0
2226,405,610,89,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
24,3,8,0,1,0
10,4,0,2,0,0
12,3,0,0,1,0
8,3,0,1,0,0
1,1,0,0,0,0
23,3,6,0,1,0
10,4,0,2,0,0
12,3,0,0,1,0
8,3,0,1,0,0
1,1,0,0,0,0
14,2,5,0,0,0
1,1,0,0,0,0
20,8,0,4,0,0
1,1,0,0,0,0
36,10,0,1,1,0
6,2,0,1,0,0
1,1,0,0,0,0
14,2,5,0,0,0
1,1,0,0,0,0
20,8,0,4,0,0
1,1,0,0,0,0
36,10,0,1,1,0
6,2,0,1,0,0
1,1,0,0,0,0
8,2,0,0,1,0
1,1,0,0,0,0
8,2,0,0,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
2736,471,778,129,1,0
43,15,3,8,0,0
1,1,0,0,0,0
13,1,2,1,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
5,2,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
5,1,0,0,0,0
1,1,0,0,0,0
9,1,2,0,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
3,1,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
5,1,0,0,0,0
1,1,0,0,0,0
411,61,108,23,1,0
1,1,0,0,0,0
6,2,0,1,1,0
1,1,0,0,0,0
10,4,0,0,1,0
1,1,0,0,0,0
2,1,0,1,0,0
1,1,0,0,0,0
5,1,0,2,0,0
1,1,0,0,0,0
42,7,13,0,1,0
6,3,0,0,1,0
1,1,0,0,0,0
33,15,0,3,0,0
1,1,0,0,0,0
2,1,0,1,0,0
2,1,0,0,1,0
1,1,0,0,0,0
5,1,0,2,0,0
1,1,0,0,0,0
3,1,0,2,0,0
1,1,0,0,0,0
5,1,0,2,0,0
1,1,0,0,0,0
778,161,215,53,1,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
30,3,7,2,0,0
1,1,0,0,0,0
10,2,0,2,0,0
1,1,0,0,0,0
28,6,0,3,1,0
1,1,0,0,0,0
9,2,2,1,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
13,2,5,2,0,0
1,1,0,0,0,0
14,2,3,2,0,0
1,1,0,0,0,0
1047,183,282,58,0,0
1,1,0,0,0,0
22,3,8,2,0,0
1,1,0,0,0,0
24,3,8,2,0,0
1,1,0,0,0,0
586,100,162,27,1,0
1,1,0,0,0,0
123,30,25,14,0,0
35,8,6,7,1,0
1,1,0,0,0,0
2,2,0,0,0,0
1,1,0,0,0,0
2,1,0,0,1,0
1,1,0,0,0,0
3,1,0,1,0,0
1,1,0,0,0,0
44,12,6,11,0,0
1,1,0,0,0,0
12,3,2,3,0,0
1,1,0,0,0,0
2,1,0,0,1,0
1,1,0,0,0,0
4,3,0,1,0,0
1,1,0,0,0,0
57,21,4,13,0,0
1,1,0,0,0,0
76,11,24,4,0,0
2,1,0,0,0,0
1,1,0,0,0,0
252,44,69,15,0,0
18,6,0,6,0,0
1,1,0,0,0,0
13,7,0,1,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
8,4,0,2,0,0
1,1,0,0,0,0
193,51,42,18,1,0
1,1,0,0,0,0
79,25,6,19,0,0
1,1,0,0,0,0
120,36,15,19,1,0
1,1,0,0,0,0
33,12,3,3,1,0
119,44,8,29,0,0
1,1,0,0,0,0
369,63,103,21,1,0
1,1,0,0,0,0
602,111,168,16,1,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
48,9,11,2,0,0
3,1,0,1,0,0
1,1,0,0,0,0
21,4,7,0,0,0
7,1,3,0,0,0
1,1,0,0,0,0
9,1,3,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
20,3,2,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
20,3,2,0,0,0
1,1,0,0,0,0
7,1,3,0,0,0
1,1,0,0,0,0
104,19,27,9,1,0
1,1,0,0,0,0
676,120,200,21,1,0
2,1,0,0,0,0
1,1,0,0,0,0
2404,412,727,85,1,0
1,1,0,0,0,0
9,1,3,0,0,0
12,5,0,2,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
9,1,3,0,0,0
1,1,0,0,0,0
4,2,0,0,0,0
1,1,0,0,0,0
38,6,12,0,0,0
1,1,0,0,0,0
38,6,12,0,0,0
1,1,0,0,0,0
7,1,2,0,0,0
1,1,0,0,0,0
8,3,0,2,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
11,1,5,0,0,0
12,4,0,0,0,0
1,1,0,0,0,0
12,4,0,0,0,0
1,1,0,0,0,0
6,1,2,0,0,0
1,1,0,0,0,0
6,1,2,0,0,0
1,1,0,0,0,0
459,74,136,19,1,0
4,1,0,1,0,0
1,1,0,0,0,0
11,5,0,1,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
9,3,0,4,1,0
1,1,0,0,0,0
15,7,0,2,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
1189,198,359,52,0,0
4,2,0,0,1,0
1,1,0,0,0,0
833,143,256,33,1,0
1,1,0,0,0,0
173,36,51,3,0,0
3,1,1,0,0,0
1,1,0,0,0,0
12,4,0,6,1,0
1,1,0,0,0,0
7,3,0,1,1,0
1,1,0,0,0,0
5,2,0,1,1,0
1,1,0,0,0,0
5,1,0,2,0,0
1,1,0,0,0,0
4,2,0,0,0,0
1,1,0,0,0,0
6,2,1,1,0,0
1,1,0,0,0,0
12,5,3,1,1,0
1,1,0,0,0,0
4,2,0,0,0,0
1,1,0,0,0,0
2,1,0,1,0,0
1,1,0,0,0,0
5,2,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
11,3,2,3,0,0
1,1,0,0,0,0
8,3,1,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
265,50,71,16,1,0
2,1,0,0,1,0
1,1,0,0,0,0
13,5,0,3,1,0
4,2,0,0,1,0
1,1,0,0,0,0
4,2,0,0,1,0
1,1,0,0,0,0
10,3,0,5,1,0
1,1,0,0,0,0
5,1,0,2,0,0
1,1,0,0,0,0
222,62,47,22,0,0
7,3,0,1,0,0
1,1,0,0,0,0
3,1,0,0,1,0
1,1,0,0,0,0
44,15,2,11,0,0
4,2,0,0,1,0
1,1,0,0,0,0
60,11,17,4,1,0
2,1,0,0,0,0
1,1,0,0,0,0
1103,221,297,58,0,0
1,1,0,0,0,0
11,5,0,1,1,0
1,1,0,0,0,0
4,2,0,0,0,0
1,1,0,0,0,0
2,1,0,1,0,0
1,1,0,0,0,0
6,2,1,0,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,1,0,0
1,1,0,0,0,0
11,3,2,3,0,0
1,1,0,0,0,0
322,60,96,4,0,0
4,1,0,1,0,0
1,1,0,0,0,0
16,8,0,2,1,0
5,2,0,1,0,0
1,1,0,0,0,0
4,2,0,0,0,0
1,1,0,0,0,0
2,1,0,1,0,0
2,1,0,0,0,0
1,1,0,0,0,0
5,2,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
4,1,1,0,0,0
4,2,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
11,3,2,3,0,0
1,1,0,0,0,0
11,3,2,3,0,0
1,1,0,0,0,0
12,4,2,1,0,0
1,1,0,0,0,0
2,1,0,1,0,0
1,1,0,0,0,0
201,47,43,14,1,0
1,1,0,0,0,0
97,18,31,4,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
14,4,0,3,0,0
1,1,0,0,0,0
14,4,0,3,0,0
1,1,0,0,0,0
23,6,1,7,0,0
22,6,0,5,0,0
1,1,0,0,0,0
3,1,0,1,0,0
1,1,0,0,0,0
13,2,0,2,1,0
1,1,0,0,0,0
20,6,0,6,0,0
1,1,0,0,0,0
3,1,0,1,0,0
1,1,0,0,0,0
39,9,0,8,1,0
1,1,0,0,0,0
17,5,0,6,0,0
2,1,0,0,0,0
1,1,0,0,0,0
3,1,0,1,0,0
1,1,0,0,0,0
24,4,0,5,1,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
8,2,0,3,0,0
1,1,0,0,0,0
19,5,0,6,1,0
8,2,0,2,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
3,1,0,1,0,0
1,1,0,0,0,0
8,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
361,60,92,23,1,0
1,1,0,0,0,0
15,7,0,4,1,0
1,1,0,0,0,0
5,2,0,1,0,0
1,1,0,0,0,0
5,2,0,1,0,0
1,1,0,0,0,0
14,4,0,0,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
8,4,0,0,0,0
4,2,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
5,2,0,1,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
5,1,1,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
393,66,112,22,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
94,14,29,3,1,0
1,1,0,0,0,0
774,107,238,16,1,0
1,1,0,0,0,0
553,101,159,22,1,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
1936,325,569,65,0,0
1,1,0,0,0,0
905,194,220,85,0,0
4,2,0,0,0,0
1,1,0,0,0,0
9,4,0,3,0,0
1,1,0,0,0,0
4,2,0,0,0,0
1,1,0,0,0,0
4,1,0,1,0,0
4,2,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,1,0,0
2,1,0,0,0,0
1,1,0,0,0,0
12,3,0,5,0,0
1,1,0,0,0,0
29,8,3,7,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
438,87,125,19,0,0
27,9,1,8,0,0
1,1,0,0,0,0
4,1,1,0,0,0
1,1,0,0,0,0
14,6,1,3,1,0
1,1,0,0,0,0
163,39,32,17,1,0
1,1,0,0,0,0
870,194,214,53,1,0
1,1,0,0,0,0
615,113,178,22,1,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
13,4,1,3,0,0
25,10,0,5,0,0
1,1,0,0,0,0
4,2,0,0,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
4,2,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
320,65,88,22,0,0
4,2,0,0,0,0
1,1,0,0,0,0
11,2,3,1,0,0
1,1,0,0,0,0
8,3,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
4,2,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
92,27,0,24,0,0
1,1,0,0,0,0
5,1,0,2,0,0
2,1,0,0,0,0
1,1,0,0,0,0
82,14,25,3,1,0
2,1,0,0,0,0
1,1,0,0,0,0
4,1,1,0,0,0
1,1,0,0,0,0
142,29,36,7,1,0
1,1,0,0,0,0
15,7,0,2,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
9,2,2,1,0,0
2,1,0,0,0,0
1,1,0,0,0,0
4,2,0,0,0,0
1,1,0,0,0,0
6,2,1,1,0,0
1,1,0,0,0,0
24,7,3,8,0,0
1,1,0,0,0,0
256,64,62,23,0,0
2,1,0,0,0,0
1,1,0,0,0,0
179,34,52,7,1,0
186,38,48,7,0,0
1,1,0,0,0,0
4,2,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
53,16,8,7,1,0
2,1,0,0,0,0
1,1,0,0,0,0
4,2,0,0,0,0
1,1,0,0,0,0
12,2,3,1,0,0
2,1,0,0,0,0
1,1,0,0,0,0
17,8,0,2,0,0
1,1,0,0,0,0
2,1,0,1,0,0
1,1,0,0,0,0
8,3,0,2,0,0
1,1,0,0,0,0
5,1,0,2,0,0
2,1,0,0,0,0
1,1,0,0,0,0
406,76,113,23,1,0
2,1,0,0,0,0
1,1,0,0,0,0
67,11,21,1,1,0
2,1,0,0,0,0
1,1,0,0,0,0
8,3,0,1,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
8,4,0,1,0,0
6,2,1,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
28,10,3,9,0,0
1,1,0,0,0,0
9,2,2,1,0,0
1,1,0,0,0,0
146,31,41,12,0,0
1,1,0,0,0,0
10,4,0,2,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
4,2,0,1,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
3,1,0,1,0,0
1,1,0,0,0,0
9,4,0,2,0,0
1,1,0,0,0,0
7,4,0,1,0,0
1,1,0,0,0,0
78,36,9,19,0,0
1,1,0,0,0,0
3,1,0,1,0,0
1,1,0,0,0,0
119,18,35,4,1,0
2,1,0,0,0,0
1,1,0,0,0,0
66,14,17,3,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
9,2,1,2,0,0
1,1,0,0,0,0
106,21,26,5,0,0
1,1,0,0,0,0
165,33,48,3,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
38,5,10,0,1,0
18,6,0,6,0,0
1,1,0,0,0,0
11,2,2,1,1,0
1,1,0,0,0,0
91,24,14,12,1,0
1,1,0,0,0,0
337,97,58,23,1,0
1,1,0,0,0,0
570,105,153,29,1,0
2,1,0,0,0,0
1,1,0,0,0,0
45,15,3,12,0,0
1,1,0,0,0,0
48,16,3,9,0,0
1,1,0,0,0,0
121,34,17,25,1,0
1,1,0,0,0,0
378,116,56,55,1,0
1,1,0,0,0,0
15,6,0,4,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
3,2,0,0,0,0
1,1,0,0,0,0
2,1,0,1,0,0
1,1,0,0,0,0
60,13,14,4,1,0
2,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
3,1,0,1,0,0
1,1,0,0,0,0
2,2,0,0,0,0
1,1,0,0,0,0
11,5,0,2,0,0
1,1,0,0,0,0
866,143,251,31,1,0
85,35,0,20,1,0
1,1,0,0,0,0
281,83,43,49,1,0
1,1,0,0,0,0
3,1,0,1,0,0
1,1,0,0,0,0
69,23,10,7,0,0
35,14,2,10,0,0
1,1,0,0,0,0
11,6,0,2,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
9,4,0,1,1,0
1,1,0,0,0,0
5,1,0,2,0,0
1,1,0,0,0,0
56,9,16,3,0,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
284,79,44,42,1,0
1,1,0,0,0,0
183,44,40,23,0,0
99,39,0,32,1,0
1,1,0,0,0,0
19,9,0,5,1,0
1,1,0,0,0,0
42,16,0,11,1,0
1,1,0,0,0,0
377,112,33,64,0,0
4,2,0,0,0,0
1,1,0,0,0,0
114,31,19,21,0,0
1,1,0,0,0,0
19,6,1,5,0,0
1,1,0,0,0,0
30,12,0,8,1,0
1,1,0,0,0,0
35,16,0,7,1,0
1,1,0,0,0,0
43,19,0,10,1,0
1,1,0,0,0,0
101,41,0,32,1,0
1,1,0,0,0,0
784,230,123,117,1,0
1,1,0,0,0,0
58,17,5,11,1,0
2,1,0,0,0,0
1,1,0,0,0,0
10,3,0,2,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
20,6,0,7,0,0
1,1,0,0,0,0
19,6,0,6,0,0
1,1,0,0,0,0
7,4,0,0,1,0
1,1,0,0,0,0
4,2,0,0,0,0
1,1,0,0,0,0
10,3,0,2,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
29,10,0,9,1,0
1,1,0,0,0,0
40,8,11,1,1,0
9,3,0,2,1,0
1,1,0,0,0,0
5,1,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
27,10,0,7,1,0
1,1,0,0,0,0
495,96,128,32,1,0
1,1,0,0,0,0
312,94,43,53,1,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
21,3,6,1,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
19,2,7,1,0,0
1,1,0,0,0,0
572,159,90,94,1,0
4,2,0,0,0,0
1,1,0,0,0,0
8,3,0,2,0,0
1,1,0,0,0,0
57,21,0,18,0,0
1,1,0,0,0,0
12,2,0,0,1,0
2956,421,721,273,1,0
1,1,0,0,0,0
4494,638,1071,432,1,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
1424,199,345,125,1,0
1,1,0,0,0,0
1,1,0,0,0,0
85,11,24,3,1,0
44,8,14,2,1,0
162,20,50,16,1,0
1,1,0,0,0,0
38,5,3,5,0,0
1,1,0,0,0,0
1058,156,336,16,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
13,1,4,0,1,0
1,1,0,0,0,0
1209,188,379,34,1,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
14,4,3,2,1,0
1,1,0,0,0,0
479,78,148,10,1,0
1,1,0,0,0,0
1568,254,501,36,1,0
2,1,0,0,0,0
1,1,0,0,0,0
63,8,16,7,1,0
1,1,0,0,0,0
27,4,8,0,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
394,68,118,11,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
13,2,4,0,1,0
1,1,0,0,0,0
2811,443,862,69,1,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
14,4,3,2,1,0
1,1,0,0,0,0
662,105,199,19,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
46,6,14,0,1,0
1,1,0,0,0,0
1278,237,374,44,1,0
1,1,0,0,0,0
334,69,89,21,0,0
1,1,0,0,0,0
248,77,40,30,0,0
2,1,0,0,0,0
1,1,0,0,0,0
77,10,27,0,0,0
1,1,0,0,0,0
27,4,8,0,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
346,61,97,19,1,0
1,1,0,0,0,0
263,59,71,13,0,0
2,1,0,0,0,0
1,1,0,0,0,0
7,2,0,2,0,0
1,1,0,0,0,0
4,2,0,0,0,0
1,1,0,0,0,0
5,2,0,2,0,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
1452,247,460,30,0,0
53,18,0,14,0,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
242,44,74,2,0,0
2,1,0,0,0,0
1,1,0,0,0,0
68,9,23,1,1,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
14,4,3,2,1,0
1,1,0,0,0,0
41,6,15,2,0,0
21,9,3,2,1,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
108,34,8,5,0,0
1,1,0,0,0,0
382,111,69,41,0,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
533,89,162,15,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
